玩家评价,是否推荐,游玩时长(小时),觉得有价值的人数,觉得好笑的人数
"如何快速解锁鸡煲：
下载游戏后选择单人游戏，选择战士后跳过教程后按出esc，选择放弃。解锁新角色。之后使用新解锁的角色重复这一操作，直至鸡煲解锁",推荐,21.0,1528,825
"拥有夜宴幽魂的猎天帝是无敌的
只听一声大喝，铁甲战士蓦然大喊道：“猎宝，你究竟
在做什么！没有运转的力量，我们如何才能抗衡时光
老头！”
猎手幽然一笑，“很简单，夜宴幽魂不就是了没。”
她森绿色的法衣浮现出三种金灿色的大道之光——贤
上腺素×3，极尽升华，她竟要此处蜕变，突破费用的
枷锁，俨然要走到这条大道的尽头了。
“她实在是惊才绝艳，竟然另辟蹊径，走出了一条前人
没走过的路。”铁甲战士惊叹，随即眉头紧锁，“但那
可是夜宴幽魂，凭借三张未敲过的肾上腺素，费用端
实在是薄弱了。
他见过太多登临塔顶的天才，不乏灵体之辈，但都陨
落了，连大道都被时光老头磨灭了。
时光吞噬者冷笑道：“那又如何，就算你少年至尊，终
是没有时间成长，下回合只能出四张牌，你拿什么抗
衡我?
随后，时光法则显化于世，猎手抗衡住3×8的重击,
面庞惨白，无力的单手撑地。
“哈哈，终究不过昙花一现，就算我手托腾跃，肩抗诸
神，照样单手灭杀你！'
时光吞噬者目射凶光，霸气凛然，无敌的威压震得塔
顶摇摇欲坠。
他此时气焰盛人，无比自信，这片地域之中，观天帝
不在，他就是第一人。
然而，猎手的脸上却浮出一丝狡黠的笑容。
“你笑什么？
“我笑你年老愚笨，连我卡组的牌都忘记了。”猎手好整以暇，站起身来，“不错，我确实只能再出四张牌
了，不过已然足够了！”
她身前再次浮现灿金色的光辉，普照云端，照亮这片
漆黑地域。
铁甲战士惊呼：“她竟然还有金卡！不过就算如此，也
终究撼动时光法则，四张牌是必死之局！”
金光散去，那最后一张卡浮现在众人眼前，赫然是
——子弹时间。
“什么！你怎么会在有战术大师的情况下抓这张牌？
时光吞噬者震惊而又不甘地大喊。
“竟然不惧卡启动吗？猎宝你这家伙！”铁甲战士面露
喜色，“她的大道登顶了！”
只见万鬼哭嚎，无尽的幽魂附在其身上，十二层灵
体！
猎手此时豪气千云，诗从胸来，当即诵道：“早岁已知
一层艰，仍然以身叩二层，一路问号身如絮，牌海沉
浮猎独行，千磨万击夺敲位，殚精竭虑战精英，今朝
内切叠云处，夜宴幽魂塞无限！”
“功成！受死！
只听几下铿锵之声，时光老头气脉尽绝，只剩一口
气，猎宝剑指后者，声音颤抖地问道：“我且问你，机
堡如今身在何处。
时光吞噬者冷笑道：“谁是鸡煲？我只看到一个蓝色机
器人，顺手杀了。",推荐,22.6,522,726
"玩战士能忍住不笑的神了
玩猎宝能忍住不笑的神了
玩储君能忍住不笑的神了
玩骨法能忍住不笑的神了
玩鸡煲能笑的出来的神了",推荐,37.5,934,703
"哦鸡鸡煲，高塔里做英雄~
哦鸡鸡煲，集中正在启动~
哦鸡鸡煲，能力掌握手中~
让肉鸽更美好~ 重开就一定成功~！

嘿 嘿 嘿~
不要小看集中冰~
说到起防说到推球~
他是一级棒~！

喂 喂 喂~
别在他面前逞强~
所有高塔boss一旦见到他~
闪一旁~！

而他很简单~
他最爱拿集中冰大扩容~
朋友不管遇到什么困难~
有他机器人就不用烦~！",推荐,45.0,466,812
非常好游戏，但是希望能做一个多人游戏伤害统计功能，让我看看是谁在划水（）,推荐,31.0,828,244
"非常好，还是那个味道，但是我觉得多人模式的机制还有待完善，目前所有怪物的攻击都被视作AOE，会同时攻击房间内的所有玩家，这在一定程度上简化了怪物的攻击逻辑，使其攻击模式显得相对“单调”，虽然可能是对平衡性做出的考虑，但是我感觉实际游玩的体验并没有那么好，既然多人了，并且怪物的血量是根据设定倍数倍增的，那我觉得怪物的攻击机制还可以再调整一下，我谨在此提出我的设想，为制作组提供一些微末灵感，欢迎大家讨论，不要攻击我，当然有同样感受的玩家也可以给我一点点数的打赏：
1、为怪物设计一个仇恨计算逻辑（如基于伤害量、治疗量或特定技能）。这允许怪物像玩家一样进行“单体攻击”，使团队中出现“坦克”职责，专注于承伤与仇恨控制（可以有针对的衍生卡牌来保证坦克也具有一定输出）。
2、怪物的攻击类型分为以下几类：a单体攻击：高伤害，针对当前仇恨目标。考验单体格挡或减伤能力。
b对所有人造成中等伤害。
c随机伤害，随机选择攻击对象，玩家无法预知，或可通过特定卡牌预测
需要注意的是，每种攻击类型都应有清晰的视觉提示，让玩家能够区分怪物的攻击对象。
暂且就这么多，希望杀戮尖塔2越来越好。
Very good, still that familiar feel, but I think the mechanics of the multiplayer mode still need refinement. Currently, all monster attacks are treated as AoE, simultaneously hitting all players in the room. This simplifies the monsters' attack logic to some extent, making their attack patterns seem relatively ""monotonous."" While this might be a consideration for balance, I feel the actual gameplay experience isn’t as engaging. Since it’s multiplayer and the monsters’ health scales based on a set multiplier, I believe the monsters’ attack mechanics could be further adjusted. I’d like to propose my ideas here, offering some humble inspiration to the development team. Everyone is welcome to discuss, and please don’t take this as criticism. Of course, players who share the same feelings can also give me a small point tip:
  1.Design an aggro/threat calculation logic for monsters (e.g., based on damage dealt, healing, or specific skills). This allows monsters to perform ""single-target attacks"" like players, introducing a ""tank"" role in the team focused on damage absorption and threat management (with corresponding derived cards to ensure tanks also have some offensive capability).
  2.Categorize monster attacks into the following types:
  a. Single-target attack: High damage, targeting the current threat target. Tests single-target blocking or damage reduction abilities.
  b. Moderate damage to all players.
  c. Random damage: Randomly selects a target to attack, making it unpredictable for players, though specific cards could potentially predict it.
  It’s important to note that each attack type should have clear visual cues so players can distinguish the monster’s target.
  That’s all for now. I hope Slay the Spire 2 continues to improve!！
点点赞吧QAQ",推荐,24.2,789,21
"尖塔第五强还在启动，而你的人生不能一直等待
当你在这慢慢看评测的时候，鸡煲的集中可都掉光了
现在就启动杀戮尖塔2吧!",推荐,24.9,266,166
最近看这个游戏挺火，从来没玩过这种游戏，他们告诉我里面有个角色叫鸡煲最厉害，无脑通关，真的假的？,推荐,5.9,242,301
"尖塔四位围在篝火旁讲笑话
战士站起来讲了一个关于烧牌的笑话，大家都笑了
猎人站起来讲了一个关于运转的笑话，大家都笑了
观者站起来讲了一个关于数值的笑话，大家都笑了
鸡煲站起来，大家都笑了",推荐,27.0,2101,1925
能不能做个表情系统，好友之间互相发表情那就好玩啦,推荐,8.6,548,22
初体验评价：相较于塔一，怪物和敌人的数值都有很大的膨胀，但娱乐性和可复玩性并不逊于塔一，期待后续的数值调整（ps：画风和动画与塔一相比，感觉打击感反而变弱了，希望改进）,推荐,21.9,190,7
"为什么尖塔2有5个角色？
因为这样4人联机的时候就不会有人不情愿的选择鸡煲了
因为这样4人联机的时候就不会有人不情愿的选择鸡煲",推荐,41.7,271,282
相对一代来说 卡牌数值和遗物/事件质量有着显著提升，战斗爽爽爽爽。唯一一个初见通关角色竟然是鸡煲，不愧是我在一代第四喜欢的角色！我们鸡煲实在是太有实力了！机咪~,推荐,16.9,119,73
希望大家有一个认知永远不要忘记：鸡煲不管在塔一还是塔二都是最强的角色,推荐,18.4,119,179
"玩怪猎玩大剑，玩龙信玩大剑，玩魂系玩大剑，玩环玩大剑，玩亨利玩大剑，玩盐与避难所玩大剑，玩守望玩大剑，玩尖塔也玩大剑，原来强的是我不是武器。当队友在好奇怎么起防，感觉这把要交代了的时候，一刀600下去感受到了久违的灵魂升华。
对了别问我怎么活到能砍600的时候",推荐,38.5,123,74
"首先我要告诉你 这款游戏不是完美的 至少在我这两个小时的体验过程中有几个小缺点：
1.相较于一代动画更加“粘手” 打牌时经常会出现出错牌/扔错敌人的情况
2.个人体验上来说 我更喜欢一代那种恢弘大气的富有史诗感的音乐 二代弱化了游戏体验中音乐的存在 对于多人来说是个不错的选择 但对于单人模式则略微降低了沉浸感
3.卡牌动画优先级（多人模式）在多人打出卡牌时自己的卡牌动画可能会延后播放 导致打牌时的爽感稍微出现滞后感（码字时想了一下，如果设计师的想法是通过可视化卡牌效果的先后顺序来帮助玩家判断buff之间的关系，那就当我这条在胡扯就行，因为本人游戏水平较菜，一般脑子赶不上判断动画顺序）
但这款游戏依然值得你去购买。
我初次接触塔一 是在五年级的暑假军训夏令营（就是大伙在互联网上看到的兵王meme来源那种） 同行的小孩哥下午下操后忽然掏出一款神似PSP的超绝国产盗版游戏机 问我要不要试试塔
对于没有注册过steam 电脑只玩4399的小小的老子来说 游戏就应该是穿越火线 或者手机上的元气骑士
我倒并不想争做为赋新词强说愁的文青病 只是现在看来 人确实会囿于舒适的圈层 大到玩游戏本身 小到游戏的选择 都是如此
我只需要知道一款游戏很像我之前玩过的 且我能玩的不错 它就是好游戏 而我玩不懂的 新类型的 都是差游戏
但塔带给了我一种全新的游戏震撼 它告诉我有一种游戏不需要急头白脸的操作与手法 策略就是水平的映射
连寄三把的战士鸽没有带给我丝毫的挫败感 反而在我的人生中植下了第一条游戏经验：叠力量的高效伤害 比多出几张打击 重要得多
为期一周的夏令营很快结束 回到家中我却因为4399搜索不到杀戮尖塔而郁郁寡欢 直到那时我才意识到 游戏是一片广袤的天地 
它允许战士在运输船上暴力甩狙 也允许他暂时穿上铁甲 向地牢中未知的危险进发
高中时 有人对我说 他最喜欢的诗 是《梦游天姥吟留别》
我嗤之以鼻 它既没有《春江花月夜》的人生哲思 也没有《琵琶行》的哀婉凄切 甚至不如李白自己的《将进酒》那般豪放 
可他却告诉我 他之所以喜欢 恰恰是因为这首诗根本不像诗 
李白并非不能遵守诗词的韵律  但他的豪放与狂妄早已超越了诗词对格式的拘泥 这种自信带给他的震撼 重塑了他对所有古诗的认同感 其他的诗只能带给他对文人才华的钦佩 这首诗让他感应到生命在时光涟漪中 千年以后的回响
对于我来说 塔就是我的《梦游天姥吟留别》这个账号中塔是我第二个买下的游戏（第一个是壁纸引擎 这个没法喷）但我只玩了不到100小时 因为很简单 塔告诉我游戏世界的广大那一刻起 我就有了迈向远方的动力 或许我 我们穷极一生都无法体会这世界的辽远 但许多人 都缺乏探索第一步的勇气
作为一名大学生 我有了比高中多得多的时间去体验各种充盈丰满的精神世界 今天又一次玩到这款将我带向游戏殿堂的引路人 心中确实激动万千 我很庆幸在自己精神力量最足的年代 遇见了蓬勃发展的第九艺术 更庆幸塔这座游戏史上的风车 让我变成了敢于踏上旅程的唐吉坷德
自言自语说了好多话 总之啊总之 这是一款很棒的游戏 感激megacrit对我仅经历过的短短十载芳华的陪伴 或许有一天 当我忙于与生活对线 闲置了鼠标与键盘时 会想起那个拿起山寨游戏机 第一次爬上尖塔的午后",推荐,8.7,185,15
sl一万次最后终于找到一条活下来的世界线，此刻的我像是冈部伦太郎，哦对了余像牛逼,推荐,13.9,99,36
"挺好玩的，第一次玩就通关了，比前作简单太多。
简单总结一下：废牌和S级牌都大幅减少，人物能力更平衡。
像一代那样，缺一张牌就难以形成战斗力的情况，已经不存在了。
但是相应的，能让人爽到爆的组合也变少了。
大概就是“大招变少，小连招不断”的感觉。
而且还可以杀商人出气，爽。

缺点也很明显，二代相比一代没有质的提升，虽然多了点角色敌人道具和技能。但是前代的主要角色，战士，猎人和机器人的玩法和以前大体相同。其他几个新角色还在摸索中。
BGM也没前代抓耳。
总体感觉相当于一个大型DLC，就价格来说，性价比不算高。",推荐,14.8,246,20
"我能在集中掉完之前通过杀戮尖塔2吗
能在集中掉完之前通关杀戮尖塔2吗
集中掉完之前能通关杀戮尖塔2吗
......
",推荐,20.2,382,393
"3月6日：打牌。
3月7日：打牌。
3月8日：你怎么能如此堕落！先前订下的学习计划你都忘了吗？子曰：“吾日三省吾身。”不能再这样下去了！
3月9日：打牌。",推荐,17.1,242,185
"储君好有意思，自封宇宙储君却是个中二，没朋友就捏俩小人贬为仆人抬王座，其他角色都是背景苦大仇深的，只有储君这个乐子人路过找乐子进塔了，王不屈王来背负王进塔王败北，现在要做的就是赶紧放开创意工坊然后为储君画一张金毛傲娇笨蛋公主的形象顺便配个雌小鬼萝莉音。
鬼脑，很神奇吧。",推荐,5.2,135,48
卧槽垃圾游戏比一代还垃圾，我不知道咋回事啊，还没启动呢就显示我玩了十几个小时了？ 鸡煲有没有懂的？,推荐,38.7,84,122
"玩战士能忍住不笑的神了
玩猎宝能忍住不笑的神了
玩骨法能忍住不笑的神了
玩鸡煲能笑的出来的神了",推荐,18.9,134,100
抓牌思路和一代不一样，吸收了小丑牌和炉石的关键字机制，趣味性比一代强。玩法流畅性不如一代，数值还需调教。,推荐,18.6,55,4
"买了50分钟终于买上了 好玩好玩 这一部能联机才是最牛逼的变化

*对于联机的一些小建议，设置里面可以增加一个显示指针玩家名的功能这样就能知道指针到底是谁的（或者加个觉角色头像也行）",推荐,30.8,54,12
别打精英。部分普通遗物太弱了，还是塔1的模版，打精英很亏。还有一件事，恶魔真是活全家的玩意。,推荐,37.1,56,3
能不能把鸡煲换成观者阿，玩多人鸡煲，我连第一个boss都没打过。,推荐,27.8,80,231
